,open,high,low,close,adjclose,volume,ticker,adjclose_30,true_adjclose_30,buy_profit,sell_profit
2018-02-02,1477.3900146484375,1498.0,1414.0,1429.949951171875,1429.949951171875,11125700,AMZN,1651.7704,1659.4200439453125,221.8204345703125,0.0
2018-02-13,1385.9300537109375,1419.719970703125,1383.530029296875,1414.510009765625,1414.510009765625,5917900,AMZN,3410.707,3185.070068359375,1996.197021484375,0.0
2018-02-20,1446.489990234375,1488.77001953125,1446.489990234375,1468.3499755859375,1468.3499755859375,6499200,AMZN,-2.9747932,3.9791667461395264,0.0,1471.324768781662
2018-02-22,1495.3599853515625,1502.5400390625,1475.760009765625,1485.3399658203125,1485.3399658203125,4858100,AMZN,76.82801,77.30000305175781,0.0,1408.5119552612305
2018-02-28,1519.510009765625,1528.699951171875,1512.0,1512.449951171875,1512.449951171875,4515000,AMZN,98.76573,89.1500015258789,0.0,1413.6842193603516
2018-03-05,1494.239990234375,1525.3800048828125,1481.0,1523.6099853515625,1523.6099853515625,5233900,AMZN,93.26096,90.0,0.0,1430.349021911621
2018-03-07,1526.52001953125,1545.9000244140625,1522.510009765625,1545.0,1545.0,4174100,AMZN,397.82962,397.6600036621094,0.0,1147.1703796386719
2018-03-12,1592.5999755859375,1605.3299560546875,1586.699951171875,1598.3900146484375,1598.3900146484375,5174200,AMZN,20.197884,14.5,0.0,1578.1921310424805
2018-03-23,1539.010009765625,1549.02001953125,1495.3599853515625,1495.56005859375,1495.56005859375,8006000,AMZN,67.39013,45.46875,0.0,1428.1699295043945
2018-03-27,1572.4000244140625,1575.969970703125,1482.3199462890625,1497.050048828125,1497.050048828125,6999600,AMZN,101.82138,131.74000549316406,0.0,1395.2286682128906
2018-04-06,1429.969970703125,1452.5,1400.260009765625,1405.22998046875,1405.22998046875,5882300,AMZN,412.5327,384.20001220703125,0.0,992.697265625
2018-04-11,1439.43994140625,1448.780029296875,1424.8900146484375,1427.050048828125,1427.050048828125,3582500,AMZN,33.609814,39.75,0.0,1393.4402351379395
2018-04-12,1439.5,1452.1199951171875,1435.06005859375,1448.5,1448.5,3135000,AMZN,21.469654,25.049999237060547,0.0,1427.030345916748
